ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date,Time,Sampling Team,Other - Sampling Team,Location,Sample Type,Sample Code,Collection Method,Biofilm Analyte,Replicate,Strip Position,# Hauls,Field Notes,x,y
1,d4822b19-24ad-483f-8e3d-3c24cb9cae7e,6/23/2023 1:51:14 AM,ltimlick_IISD,2/14/2024 11:33:02 PM,ltimlick_IISD,6/22/2023 5:00:00 PM,19:24,"PR,other","KRoar, KLA",M1,Tritium,QAC_0461,Grab Sample,,,,,,0,0
2,5c394b8e-c76a-46cd-87a3-5a789b18b621,6/23/2023 1:51:15 AM,ltimlick_IISD,10/19/2023 4:27:57 PM,ltimlick_IISD,6/22/2023 5:00:00 PM,19:31,"PR,other","KLA, KRoar",M5,Water - Analytical,QAC_0456,Integrated Sampler,,,,,,0,0
3,8c3f88ea-51fa-4ba0-9368-4f9e59076631,6/23/2023 1:51:17 AM,ltimlick_IISD,2/14/2024 11:33:20 PM,ltimlick_IISD,6/22/2023 5:00:00 PM,19:31,"PR,other","KLA, KRoar",M5,Tritium,QAC_0465,Grab Sample,,,,,,0,0
4,3c3da1c1-5478-42f8-aeb4-b5354f488595,6/23/2023 1:51:18 AM,ltimlick_IISD,10/19/2023 4:28:06 PM,ltimlick_IISD,6/22/2023 5:00:00 PM,19:34,"PR,other","KLA, KRoar",M6,Water - Analytical,QAC_0459,Integrated Sampler,,,,,,0,0
5,069ce5e0-de00-448a-9ca5-aee97f08899f,6/23/2023 1:51:18 AM,ltimlick_IISD,2/14/2024 11:33:25 PM,ltimlick_IISD,6/22/2023 5:00:00 PM,19:36,"PR,other","KLA, KRoar",M6,Tritium,QAC_0466,Grab Sample,,,,,,0,0
6,1ff7c58c-67fa-4633-9c37-7e778fbc41aa,6/23/2023 1:51:19 AM,ltimlick_IISD,10/19/2023 4:28:00 PM,ltimlick_IISD,6/22/2023 5:00:00 PM,19:39,"PR,other","KLA, KRoar",M8,Water - Analytical,QAC_0457,Integrated Sampler,,,,,,0,0
7,ebbfd7b5-d7ec-4947-b36f-94823e805d39,6/23/2023 1:52:40 AM,ltimlick_IISD,7/13/2023 4:43:28 PM,ltimlick_IISD,6/22/2023 5:00:00 PM,19:41,"PR,other",KLA KR,M8,Tritium,QAC_0468,Integrated Sampler,,,,,,-97.1338588916657,49.8961174705917
8,927c0923-25e5-4e0d-a2e6-cb18389b0556,6/23/2023 5:00:36 PM,ltimlick_IISD,6/23/2023 5:00:36 PM,ltimlick_IISD,6/23/2023 5:00:00 PM,09:17,"KC,other",ED,M1 (tritium),Tritium,QAC_0483,Integrated Sampler,,,,,,0,0
9,4eaa3974-b58d-4f89-a83f-831b4241ddc8,6/23/2023 5:01:11 PM,ltimlick_IISD,7/13/2023 1:08:06 AM,ltimlick_IISD,6/23/2023 5:00:00 PM,09:24,"KC,other",ED,M5,Tritium,QAC_0478,Integrated Sampler,,,,,,0,0
10,25e3f3ad-df17-4513-9511-7043f68f0410,6/23/2023 5:01:41 PM,ltimlick_IISD,7/13/2023 1:08:02 AM,ltimlick_IISD,6/23/2023 5:00:00 PM,09:31,"KC,other",ED,M6,Tritium,QAC_0477,Integrated Sampler,,,,,,0,0
11,c444402d-25c4-4fcf-ba75-ef7b81c89b68,6/23/2023 5:02:17 PM,ltimlick_IISD,6/23/2023 5:02:17 PM,ltimlick_IISD,6/23/2023 5:00:00 PM,09:38,"KC,other",ED,M8,Tritium,QAC_0476,Integrated Sampler,,,,,,0,0
12,b9699a10-b347-45c4-89a6-cb94ebffad33,6/23/2023 5:03:07 PM,ltimlick_IISD,6/23/2023 5:03:07 PM,ltimlick_IISD,6/23/2023 5:00:00 PM,09:48,"KC,other",ED,M2,Tritium,QAC_0475,Integrated Sampler,,,,,,0,0
13,b8072b05-62b4-4779-95bc-639f72716d89,6/23/2023 5:04:11 PM,ltimlick_IISD,6/23/2023 5:04:11 PM,ltimlick_IISD,6/23/2023 5:00:00 PM,09:54,"KC,other",ED,M7,Tritium,QAC_0482,Integrated Sampler,,,,,,0,0
14,e357b180-61d0-41aa-95a7-cae3d3614641,6/23/2023 5:05:10 PM,ltimlick_IISD,6/23/2023 5:05:10 PM,ltimlick_IISD,6/23/2023 5:00:00 PM,10:01,"KC,other",ED,M4,Tritium,QAC_0479,Integrated Sampler,,,,,,0,0
15,503944d3-e05f-4d79-9466-11232c244246,6/23/2023 5:05:39 PM,ltimlick_IISD,7/13/2023 1:07:52 AM,ltimlick_IISD,6/23/2023 5:00:00 PM,09:47,"KC,other",ED,M2,Water - Analytical,QAC_0473,Integrated Sampler,,,,,,-93.7285034444286,49.6603093248825
16,36e25d54-f526-4cef-9be9-ba839eb3590e,6/23/2023 5:05:50 PM,ltimlick_IISD,7/13/2023 4:52:30 PM,ltimlick_IISD,6/23/2023 5:00:00 PM,10:09,"KC,other",ED,M9,Tritium,QAC_0480,Integrated Sampler,,,,,,0,0
17,ecc1d08d-112a-4fda-8da5-ba36a6cf2de9,6/23/2023 5:06:27 PM,ltimlick_IISD,7/13/2023 1:07:56 AM,ltimlick_IISD,6/23/2023 5:00:00 PM,09:53,"KC,other",ED,M7,Water - Analytical,QAC_0474,Integrated Sampler,,,,,,-93.728716500574,49.660289346714
18,7b70f497-d967-4953-88c3-2414658fa571,6/23/2023 5:06:29 PM,ltimlick_IISD,6/23/2023 5:06:29 PM,ltimlick_IISD,6/23/2023 5:00:00 PM,10:27,"KC,other",ED,M3,Tritium,QAC_0481,Integrated Sampler,,,,,,0,0
19,7fbe7522-ed10-4970-b8c3-99975f3f2e33,6/23/2023 5:07:13 PM,ltimlick_IISD,6/23/2023 5:07:13 PM,ltimlick_IISD,6/23/2023 5:00:00 PM,10:26,"KC,other",ED,M3,Water - Analytical,QAC_0470,Integrated Sampler,,,,,,0,0
