study_day,site,enclosure,odo_(mg/L),pH,chlorophyll_(µg/L),,,,,,,,,
-2,QAC,M1,8.54,7.63,0.75,tritium ,,,,,,,,
5,QAC,M1,8.38,7.65,0.78,,,,,,,,,
13,QAC,M1,8.94,8.3,1.27,,,,,,,,,
19,QAC,M1,3.59,8,0.88,,,,,,,,,
22,QAC,M1,7.15,8.17,0.84,,,,,,,,,
36,QAC,M1,8.77,8.01,1.05,,,,,,,,,
40,QAC,M1,8.97,8.08,1.42,,,,,,,,,
43,QAC,M1,8.69,8.29,0.97,,,,,,,,,
50,QAC,M1,8.89,8.05,0.45,,,,,,,,,
54,QAC,M1,9.18,8.09,0.35,,,,,,,,,
57,QAC,M1,8.84,8.09,0.4,,,,,,,,,
61,QAC,M1,8.95,8.09,0.54,,,,,,,,,
71,QAC,M1,9.04,8.12,0.4,,,,,,,,,
,,,,,,,,,,,,,,
5,QAC,M2,8.19,7.68,0.87,20,,treatment ,avg DO,avg pH,min DO,max DO,min pH,max pH
13,QAC,M2,8.4,7.95,0.69,,,Control A,8.86,8.20,7.92,9.76,7.54,8.68
15,QAC,M2,8.59,8.09,1.23,,,Control B,8.84,8.13,8.11,9.47,7.62,8.47
19,QAC,M2,,8.01,1.03,,,Control C,8.89,8.20,8.13,9.54,7.58,8.64
29,QAC,M2,9.11,8.16,1.42,,,20,8.84,8.12,8.19,9.27,7.68,8.57
36,QAC,M2,8.54,7.95,1.17,,,112,8.74,7.96,8.06,9.27,7.52,8.32
40,QAC,M2,8.97,8.39,1.15,,,632,8.76,8.11,8.18,9.36,7.73,8.46
43,QAC,M2,8.79,8.57,1.24,,,3556,8.69,8.04,8.10,9.13,7.64,9.35
43,QAC,M2,8.78,8.56,1.23,,,20000,8.11,7.81,7.40,8.56,7.52,8.24
50,QAC,M2,8.84,8.24,0.87,,,,,,,,,
54,QAC,M2,9.24,8,0.82,,,,,,,,,
54,QAC,M2,9.2,8.23,0.62,,,,,,,,,
54,QAC,M2,9.24,8.28,0.64,,,,,,,,,
54,QAC,M2,9.27,8.18,0.53,,,,,,,,,
57,QAC,M2,8.6,7.92,0.83,,,,,,,,,
61,QAC,M2,8.81,8.05,1.36,,,,,,,,,
71,QAC,M2,8.88,7.78,1.01,,,,,,,,,
,,,9.27,8.57,,,,,,,,,,
,,,,,,,,,,,,,,
5,QAC,M3,8.32,7.85,0.88,20000,,,,,,,,
13,QAC,M3,8.56,8.24,0.76,,,,,,,,,
15,QAC,M3,8.46,8.24,0.62,,,,,,,,,
19,QAC,M3,,8.08,0.68,,,,,,,,,
29,QAC,M3,8.02,7.6,0.6,,,,,,,,,
36,QAC,M3,7.53,7.52,0.58,,,,,,,,,
40,QAC,M3,7.4,7.58,0.51,,,,,,,,,
43,QAC,M3,7.42,7.64,0.51,,,,,,,,,
50,QAC,M3,8.09,7.65,0.52,,,,,,,,,
54,QAC,M3,8.54,7.78,0.48,,,,,,,,,
57,QAC,M3,8.25,7.75,0.44,,,,,,,,,
61,QAC,M3,8.53,7.97,0.58,,,,,,,,,
71,QAC,M3,8.21,7.67,0.85,,,,,,,,,
,,,8.56,8.24,,,,,,,,,,
,,,,,,,,,,,,,,
5,QAC,M4,8.18,7.73,0.71,632,,,,,,,,
13,QAC,M4,8.42,8,0.74,,,,,,,,,
15,QAC,M4,8.39,8,0.66,,,,,,,,,
19,QAC,M4,,7.99,0.69,,,,,,,,,
29,QAC,M4,9.13,8.15,1.06,,,,,,,,,
36,QAC,M4,8.59,8.01,1.51,,,,,,,,,
40,QAC,M4,8.91,8.34,1.12,,,,,,,,,
43,QAC,M4,8.67,8.46,0.78,,,,,,,,,
50,QAC,M4,8.99,8.33,0.94,,,,,,,,,
54,QAC,M4,9.36,8.36,0.76,,,,,,,,,
57,QAC,M4,8.66,8.04,0.66,,,,,,,,,
61,QAC,M4,8.78,8.07,0.77,,,,,,,,,
71,QAC,M4,8.99,7.94,1.01,,,,,,,,,
,,,9.36,8.46,0.877692308,,,,,,,,,
,,,,,,,,,,,,,,
5,QAC,M5,7.92,7.54,0.74,control A,,,,,,,,
13,QAC,M5,8.12,7.74,0.53,,,,,,,,,
13,QAC,M5,8.39,7.89,1.01,,,,,,,,,
15,QAC,M5,8.55,8.05,0.79,,,,,,,,,
19,QAC,M5,,8.03,0.83,,,,,,,,,
22,QAC,M5,,8.11,0.98,,,,,,,,,
29,QAC,M5,9.08,8.01,0.95,,,,,,,,,
36,QAC,M5,8.63,7.93,1.21,,,,,,,,,
40,QAC,M5,9.08,8.35,1.5,,,,,,,,,
43,QAC,M5,8.84,8.51,1.39,,,,,,,,,
50,QAC,M5,9.26,8.53,1.17,,,,,,,,,
54,QAC,M5,9.76,8.68,1.19,,,,,,,,,
57,QAC,M5,8.97,8.54,0.66,,,,,,,,,
61,QAC,M5,9.21,8.64,1.69,,,,,,,,,
71,QAC,M5,9.34,8.41,1.28,,,,,,,,,
,,,9.76,8.68,,,,,,,,,,
,,,,,,,,,,,,,,
5,QAC,M6,8.16,7.62,0.9,Control B,,,,,,,,
13,QAC,M6,8.11,7.73,0.55,,,,,,,,,
15,QAC,M6,8.24,7.81,0.47,,,,,,,,,
19,QAC,M6,,7.85,0.48,,,,,,,,,
22,QAC,M6,,8.02,0.53,,,,,,,,,
29,QAC,M6,9.32,8.21,0.77,,,,,,,,,
36,QAC,M6,8.65,8,0.45,,,,,,,,,
40,QAC,M6,9,8.29,0.75,,,,,,,,,
43,QAC,M6,8.82,8.47,0.72,,,,,,,,,
50,QAC,M6,9.19,8.47,0.87,,,,,,,,,
54,QAC,M6,9.47,8.45,0.46,,,,,,,,,
57,QAC,M6,8.76,8.23,0.57,,,,,,,,,
61,QAC,M6,9.03,8.28,0.89,,,,,,,,,
71,QAC,M6,9.35,8.4,0.62,,,,,,,,,
,,,9.47,8.47,0.645,,,,,,,,,
,,,,,,,,,,,,,,
5,QAC,M7,8.06,7.52,2.16,112,,,,,,,,
13,QAC,M7,8.36,7.76,1.23,,,,,,,,,
15,QAC,M7,8.36,7.79,0.96,,,,,,,,,
19,QAC,M7,,7.79,0.44,,,,,,,,,
29,QAC,M7,9.2,8.07,0.83,,,,,,,,,
36,QAC,M7,8.65,7.97,0.89,,,,,,,,,
40,QAC,M7,8.89,8.17,0.48,,,,,,,,,
43,QAC,M7,8.66,8.32,0.44,,,,,,,,,
50,QAC,M7,8.97,8.23,0.5,,,,,,,,,
54,QAC,M7,9.27,8.19,0.47,,,,,,,,,
57,QAC,M7,8.66,7.9,0.55,,,,,,,,,
61,QAC,M7,8.85,7.99,0.69,,,,,,,,,
71,QAC,M7,8.9,7.78,0.99,,,,,,,,,
,,,9.27,8.32,0.817692308,,,,,,,,,
,,,,,,,,,,,,,,
5,QAC,M8,8.13,7.58,0.58,Control C,,,,,,,,
13,QAC,M8,8.65,8.08,0.61,,,,,,,,,
15,QAC,M8,8.72,8.18,0.9,,,,,,,,,
19,QAC,M8,,8.16,1.19,,,,,,,,,
22,QAC,M8,8.56,8.27,0.69,,,,,,,,,
29,QAC,M8,9.09,8.06,0.6,,,,,,,,,
36,QAC,M8,8.66,7.98,0.89,,,,,,,,,
40,QAC,M8,9.18,8.43,1.26,,,,,,,,,
43,QAC,M8,8.97,8.64,1.04,,,,,,,,,
50,QAC,M8,9.23,8.53,0.6,,,,,,,,,
54,QAC,M8,9.54,8.3,0.71,,,,,,,,,
57,QAC,M8,8.79,8.29,0.5,,,,,,,,,
61,QAC,M8,8.94,8.24,0.6,,,,,,,,,
71,QAC,M8,9.12,8.12,0.76,,,,,,,,,
,,,9.54,8.64,,,,,,,,,,
,,,,,,,,,,,,,,
5,QAC,M9,8.1,7.64,0.72,3556,,,,,,,,
13,QAC,M9,8.23,7.84,0.56,,,,,,,,,
15,QAC,M9,8.48,7.95,0.5,,,,,,,,,
19,QAC,M9,,7.97,0.52,,,,,,,,,
29,QAC,M9,9.04,8.02,0.87,,,,,,,,,
36,QAC,M9,8.66,8.04,1.14,,,,,,,,,
40,QAC,M9,8.93,8.3,0.98,,,,,,,,,
43,QAC,M9,8.65,8.35,1.08,,,,,,,,,
50,QAC,M9,8.76,8.12,0.57,,,,,,,,,
54,QAC,M9,9.13,8.16,0.45,,,,,,,,,
57,QAC,M9,8.56,7.99,0.46,,,,,,,,,
61,QAC,M9,8.95,8.26,0.64,,,,,,,,,
71,QAC,M9,8.82,7.88,2.41,,,,,,,,,
,,,9.13,8.35,,,,,,,,,,
